"title","url","content","reg_date","attachments"
"「복지용구 급여범위 및 급여기준 등에 관한 고시」개정 안내","https://www.longtermcare.or.kr/npbs/cms/board/board/Board.jsp?communityKey=B0022&boardId=60188&act=VIEW","보건복지부 고시 제2025-118호(2025.7.10.)「복지용구 급여범위 및 급여기준 등에 관한 고시」가 일부 개정되어, 안내하오니 관련 업무에 참고하시기 바랍니다.
  
○ 주요 내용 
  - 장기요양 수급자의 일상생활 및 신체활동 지원 등을 위한 복지용구의 설치 및 제공 원칙 명확화
    - 신규 복지용구 품목에 대한 급여 범위 및 기준 신설(별표 1∼3)
    - 복지용구 급여확인서 서식 유의사항 문구 변경(별지 1호)
  
○ 시행일:  2025.7.10.(목)","20250711","202507111.「복지용구_급여범위_및_급여기준_등에_관한_고시」일부_개정문.hwp (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc2OTc5LS0kJA==); 202507112.「복지용구_급여범위_및_급여기준_등에_관한_고시」개정_전문.hwp (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc2OTc4LS0kJA==)"
"2025년 복지용구 우수소독사업소 지정 신청 공고","https://www.longtermcare.or.kr/npbs/cms/board/board/Board.jsp?communityKey=B0022&boardId=60191&act=VIEW","국민건강보험공단 공고 요양자원실 - 2025 - 제9호
복지용구 우수소독사업소 지정 신청 공고
   
「복지용구 급여범위 및 급여기준 등에 관한 고시」 제5조의2에 따라 복지용구 우수소독사업소 지정 신청에 관하여 다음과 같이 공고하오니 관련 사업소의 적극적인 참여를 바랍니다.
1. 신청대상
  - (신규) 복지용구 대여품목을 소독할 수 있는 장비 또는 전문인력을 갖춘 복지용구사업소 및 소독전문업체로 공단의 우수소독사업소 지정을 희망하는 경우
2. 공통자격
  - 신청일 기준으로 최근 6개월 동안 대여품목 2종 이상의 소독 실적이 있어야 함
3. 신청방법
  - 제출방법 : 우편접수
  - 접수처 : 강원특별자치도 원주시 건강로 32(반곡동, 국민건강보험공단 23층) 요양자원실 복지용구부 복지용구4팀
  - 문의처 : 033-736-1997
4. 접수기간
  - 2025.8.11.(월) ∼ 8.18.(월)
    ※ 우편접수 마감일내 도착분에 한함
2025년 8월 11일
                                                                                국민건강보험공단 이사장","20250811","202508112025년_복지용구_우수소독사업소_신청_공고.hwp (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc3MTYxLS0kJA==); 20250811복지용구_우수소독사업소_현장조사_평가표_매뉴얼.hwp (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc3MTYwLS0kJA==)"
"「복지용구 급여유효기간 갱신업무 관련 전산사용 매뉴얼(공급업체)」게시","https://www.longtermcare.or.kr/npbs/cms/board/board/Board.jsp?communityKey=B0022&boardId=60078&act=VIEW","국민건강보험 공고 요양급여실 제
2019-7
호


  




「
복지용구 급여유효기간 갱신업무 관련 전산사용 매뉴얼
(
공급업체
)
」
게시


  


 


○
 
복지용구 급여유효기간 갱신업무와 관련하여
 
’19.9
월 전산개발이 완료됨에

    따라 아래와 같이 전산사용방법에 대한 매뉴얼을 게시하오니


  


○
 
복지용구 공급업체는 해당 매뉴얼을 참조하여 복지용구 급여유효기간 

    갱신업무를 처리하시기
 
바랍니다
.


  


○
 
첨부파일


  -
 
「
복지용구 급여유효기간 갱신업무 관련 전산사용 매뉴얼
(
공급업체
)
」
 
1
부
.","20191007","20191007복지용구_급여유효기간_갱신업무_관련_전산사용_매뉴얼(공급업체).hwp (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDY3NzEzLS0kJA==)"
"예비급여 2차 시범사업 대상 품목 동영상","https://www.longtermcare.or.kr/npbs/cms/board/board/Board.jsp?communityKey=B0022&boardId=60175&act=VIEW","국민건강보험공단에서 추진 중인 복지용구 예비급여
 
2
차 시범사업 대상 품목의 품목별 제품 동영상을 게시하오니 참고하시기 바랍니다
 
.


 
 




○
 
대상품목
: AI
 
돌봄로봇
,
 
낙상알림시스템
 
2
개 품목
 
(3
개 제품
 
)


  - AI
돌봄로봇
(
효돌
2
세대
)
 
관련 동영상
(링크)


  - AI
돌봄로봇
(
다솜
K)
 
관련 동영상
(링크)


  -
 
낙상알림시스템
(ICU-FDL)
 
관련 동영상
(
링크
)

※
 
클릭시 자동으로 동영상이 재생됩니다
 
.


 
 


※
 
복지용구 예비급여
 
2
 
차 시범사업 관련 안내는
 
“
복지용구 예비급여
 
2
차 시범사업 안내
”

     
게시물을 참고하시기 바랍니다
 
.","20241211",""
"「복지용구 급여대상 품목 선정 및 급여비용 산정 등에 관한 세부사항」일..","https://www.longtermcare.or.kr/npbs/cms/board/board/Board.jsp?communityKey=B0022&boardId=60182&act=VIEW","요양자원실 공고 제2025-2호(2025.2.11.) 
「복지용구 급여대상 품목 선정 및 급여비용 산정 등에 관한 세부사항」
일부 개정되어, 안내하오니 관련 업무에 참고하시기 바랍니다.
 
 
 
﻿
  ○ 
주요 개정내용
 
… 세부내용 
[붙임]
 참고
    - (제도개선) 급여결정신청 관련 조문 및 별표 변경
(급여결정신청 대상 및 절차, 월대여료 산출방법, 제품심사 평가표 등 명확화)
    - (급여평가위원회) 
위원의 제척 및 비밀준수 관련 조문 변경
(사적이해관계자 신고 및 기피 신청)
    - (전문가자문회의) 복지용구 전문가 자문회의 구성 및 운영 변경
    - (우수소독사업소) 지정 실무협의회 위원 구성 명확화
    - (기타) 급여결정신청서, 사적 이해관계자 관련 통보서 등 서식 정비
  ○ 시행일자:
 
2025.2.11.(화)","20250211","202502111._「복지용구_급여대상_품목_선정_및_급여비용_산정_등에_관한_세부사항」일부_개정문.hwp (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc2MTE0LS0kJA==); 202502112._「복지용구_급여대상_품목_선정_및_급여비용_산정_등에_관한_세부사항」개정_전문.hwp (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc2MTEzLS0kJA==)"
"복지용구 예비급여 2차 시범사업 참여 복지용구사업소 모집 공고","https://www.longtermcare.or.kr/npbs/cms/board/board/Board.jsp?communityKey=B0022&boardId=60164&act=VIEW","국민건강보험공단 공고 요양급여실
 
2024
 - 
제
9
호


 
 




「
복지용구 예비급여
 
2
차 시범사업
」
참여 복지용구사업소 모집 공고


 
 


국민건강보험공단은 노인장기요양보험 재가
수급자의 욕구 및 사회구조 변화를 반영하여 다양한 복지용구 급여품목을 확대하고자
「
복지용구 예비급여
 
2
차 시범사업
」
참여기관을 공모하오니 많은 신청 바랍니다
.






○
 
주요 내용


1.
 
접수기간
: ’24.
8.
14.(
수
) ~ 8.
28.(
수
) 18
시
, 15
일간


2.
 
사업지역
:
 
인천경기
 
7
개 지역
*


  *
 
고양시
,
 
수원시
,
 
용인시
,
 
부천시
,
 
성남시
,
 
남양주시
,
 
인천 남동구


3.
 
제출서류
:
 
예비급여 시범사업 참여 신청서
 
1
부


4.
 
접수방법
:
 
팩스
(033-749-6378)
 
또는 전자우편
(0059500@nhis.or.kr)
 
접수


5.
 
결과통보
: ’24.
9.
4.(
수
)
까지 기관별 통보


 
 


※
 
세부 내용
 
붙임파일 참고


 
 


2024
년
 
8
월
 
14
일


국민건강보험공단 이사장","20240814","20240814복지용구_예비급여_2차_시범사업_참여_안내_및_신청서.hwp (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc1MTM0LS0kJA==); 20240814복지용구_예비급여_2차_시범사업_참여_안내_및_신청서.pdf (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc1MTMzLS0kJA==)"
"「복지용구 급여대상 품목 선정 및 급여비용 산정 등에 관한 세부사항」일..","https://www.longtermcare.or.kr/npbs/cms/board/board/Board.jsp?communityKey=B0022&boardId=60171&act=VIEW","요양급여실 공고 제
2024-11
호
(2024.11.20.)
 
「
복지용구 급여대상 품목
 
선정 및 급여비용 산정 등에 관한 세부사항
」
이 일부 개정되어
,
 
안내하오니 관련 업무에 참고하시기 바랍니다
.


 
 




○
 
주요 내용

 
- (
제도개선 반영
)
 
고시 제
2
조제
5
항에 따른 공단 직권심의 품목 선별 절차 관련 조문 신설

 
-
 
(
위원관리 강화
)
 
자격기준 및 결격사유 신설
,
 
직무윤리 서약서
 
서식 추가 등

 
-
 
(
관련법령 반영
)
 
행정절차법 등 관련 법령 반영
,
 
조문 및 서식
 
개정

 
- (
사후관리 정비
)
 
품질 및 가격
,
 
우수소독사업소 기준 명확화

 
- (
원가산출 방법
)
 
직권재평가 원가산출 방법과 산출기준에 대한 명확화 등

 
-
 
(
기타
)
 
불필요한 용어 수정 및 문구 명확화
,
 
서식 최신화 등 세부
사항 전반 내용 정비


○
 
시행일
: 2024.11.19.(
화
)","20241125","20241125붙임1.「복지용구_급여범위_품목_선정_및_급여비용_산정_등에_관한_세부사항」_일부_개정문.hwp (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc1NjU3LS0kJA==); 20241125붙임2.「복지용구_급여범위_품목_선정_및_급여비용_산정_등에_관한_세부사항」_개정(안)_전문.hwp (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc1NjU2LS0kJA==)"
"복지용구 우수소독사업소 지정기관 목록(’24.1월 기준)","https://www.longtermcare.or.kr/npbs/cms/board/board/Board.jsp?communityKey=B0022&boardId=60151&act=VIEW","국민건강보험공단 공고 요양급여실
 
-
2024-
제
1
호




복지용구 우수소독사업소 지정 기관 현황


 
 




복지용구 우수소독사업소 지정목록을 붙임과 같이 게시하오니 업무에 참조하시기 바랍니다
.


 
 


붙임 복지용구 우수소독사업소 목록
 
1
부
.
 
끝
.","20240105","20240105우수소독사업소_지정_현황('24.1월_기준).pdf (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc0MDc1LS0kJA==)"
"복지용구 품목별 제품목록 및 급여비용 등에 관한 고시 일부 개정 안내","https://www.longtermcare.or.kr/npbs/cms/board/board/Board.jsp?communityKey=B0022&boardId=60169&act=VIEW","보건복지부고시 제
2024-208
호
 
「
복지용구 품목별 제품목록 및
 
급여비용 등에 관한 고시
」
가 개정되어
 
2024
년
 
11
월
 
1
일 부로 시행
하오니
,
 
관련 업무에 참고하시기 바랍니다
.


 
 




○
 
개정 내용


가
.
 
신 규
: 32
개 제품
(11
개 품목
)


나
.
 
가격조정
: 2
개 제품
(2
개 품목
)


다
.
 
급여제외
: 19
개 제품
(6
개 품목
)","20241101","202411011.「복지용구_품목별_제품목록_및_급여비용_등에_관한_고시」일부_개정안.hwp (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc1NTczLS0kJA==); 202411012.「복지용구_품목별_제품목록_및_급여비용_등에_관한_고시」전문.hwp (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc1NTcyLS0kJA==)"
"복지용구 예비급여 시범사업 위험요인 신고제도 안내","https://www.longtermcare.or.kr/npbs/cms/board/board/Board.jsp?communityKey=B0022&boardId=60180&act=VIEW","<복지용구 예비급여 시범사업 위험요인 신고제도 안내>
 
 
  복지용구 예비급여 시범사업 참여 수급자의 안전한 품목(제품) 사용 환경 조성을 위해 예비급여 시범사업 위험요인 신고제도를 운영하오니 참고하시기 바랍니다. 
 
 
 
 
 
 
첨부  1. 복지용구 예비급여 시범사업 위험요인 신고서
 
        2. 위험요인 신고·처리를 위한 개인정보수집·이용 동의서﻿","20241218","20241218[붙임]_위험요인_신고제도_다빈도_Q&A.pdf (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc2MDQ2LS0kJA==); 20241218★복지용구_예비급여_시범사업_위험요인_신고서(서식).hwp (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc1NzY3LS0kJA==); 20241218★위험요인_신고처리를_위한_개인정보수집이용_동의서(서식).pdf (https://www.longtermcare.or.kr/npbs/cms/board/Download.jsp?fileId=IUAjJDc1NzY2LS0kJA==)"
